Outcome,Message,Identity,Delay,Symbol,StartDate,StartTime,EndDate,EndTime,Open,High,Low,Close,Average,Volume
Success,,,0,XAUUSD,12/01/2015,12:30:00 PM,12/01/2015,12:35:00 PM,1068.08,1068.63,1067.75,1068.25,1068.254,38
Success,,,0,XAUUSD,12/01/2015,12:35:00 PM,12/01/2015,12:40:00 PM,1068.53,1068.53,1067.64,1068.21,1068.05,32
Success,,,0,XAUUSD,12/01/2015,12:40:00 PM,12/01/2015,12:45:00 PM,1068.43,1068.83,1067.85,1068.4,1068.313,33
Success,,,0,XAUUSD,12/01/2015,12:45:00 PM,12/01/2015,12:50:00 PM,1068.35,1069.53,1067.99,1069.24,1068.772,41
Success,,,0,XAUUSD,12/01/2015,12:50:00 PM,12/01/2015,12:55:00 PM,1069.5,1070.23,1069.16,1069.63,1069.664,39
Success,,,0,XAUUSD,12/01/2015,12:55:00 PM,12/01/2015,1:00:00 PM,1069.83,1070.13,1069.26,1069.99,1069.618,27
Success,,,0,XAUUSD,12/01/2015,1:00:00 PM,12/01/2015,1:05:00 PM,1069.75,1071.15,1069.5,1070.87,1070.053,42
Success,,,0,XAUUSD,12/01/2015,1:05:00 PM,12/01/2015,1:10:00 PM,1071.33,1072.05,1070.18,1070.53,1070.941,39
Success,,,0,XAUUSD,12/01/2015,1:10:00 PM,12/01/2015,1:15:00 PM,1070.42,1071.33,1069.85,1070.25,1070.606,38
Success,,,0,XAUUSD,12/01/2015,1:15:00 PM,12/01/2015,1:20:00 PM,1070.33,1071.93,1070.15,1071.8,1070.984,43
Success,,,0,XAUUSD,12/01/2015,1:20:00 PM,12/01/2015,1:25:00 PM,1071.58,1073.33,1070.67,1073.05,1072.055,41
Success,,,0,XAUUSD,12/01/2015,1:25:00 PM,12/01/2015,1:30:00 PM,1073.03,1073.53,1071.46,1071.81,1072.563,41
Success,,,0,XAUUSD,12/01/2015,1:30:00 PM,12/01/2015,1:35:00 PM,1071.93,1071.93,1070.42,1071.15,1071.188,42
Success,,,0,XAUUSD,12/01/2015,1:35:00 PM,12/01/2015,1:40:00 PM,1070.8,1071.23,1069.51,1070.11,1070.251,47
Success,,,0,XAUUSD,12/01/2015,1:40:00 PM,12/01/2015,1:45:00 PM,1069.8,1070.23,1068.32,1068.55,1069.173,39
Success,,,0,XAUUSD,12/01/2015,1:45:00 PM,12/01/2015,1:50:00 PM,1068.31,1069.43,1068.31,1069.1,1069.025,39
Success,,,0,XAUUSD,12/01/2015,1:50:00 PM,12/01/2015,1:55:00 PM,1068.79,1069.93,1068.79,1069.5,1069.482,40
Success,,,0,XAUUSD,12/01/2015,1:55:00 PM,12/01/2015,2:00:00 PM,1069.83,1069.93,1068.77,1069.35,1069.539,38
Success,,,0,XAUUSD,12/01/2015,2:00:00 PM,12/01/2015,2:05:00 PM,1068.86,1069.93,1068.86,1069.5,1069.444,44
Success,,,0,XAUUSD,12/01/2015,2:05:00 PM,12/01/2015,2:10:00 PM,1069.63,1069.63,1067.03,1068.45,1068.443,44
Success,,,0,XAUUSD,12/01/2015,2:10:00 PM,12/01/2015,2:15:00 PM,1068.66,1070.33,1068.08,1069.85,1069.439,42
Success,,,0,XAUUSD,12/01/2015,2:15:00 PM,12/01/2015,2:20:00 PM,1070.13,1071.03,1069.57,1070.35,1070.303,41
Success,,,0,XAUUSD,12/01/2015,2:20:00 PM,12/01/2015,2:25:00 PM,1070.48,1070.73,1069.45,1070,1070.135,47
Success,,,0,XAUUSD,12/01/2015,2:25:00 PM,12/01/2015,2:30:00 PM,1069.65,1070.13,1068.87,1069.7,1069.502,44
Success,,,0,XAUUSD,12/01/2015,2:30:00 PM,12/01/2015,2:35:00 PM,1069.88,1069.93,1068.84,1069.1,1069.389,43
Success,,,0,XAUUSD,12/01/2015,2:35:00 PM,12/01/2015,2:40:00 PM,1069.33,1069.33,1068.08,1068.45,1068.721,40
Success,,,0,XAUUSD,12/01/2015,2:40:00 PM,12/01/2015,2:45:00 PM,1068.52,1069.13,1067.52,1067.95,1068.276,37
Success,,,0,XAUUSD,12/01/2015,2:45:00 PM,12/01/2015,2:50:00 PM,1068.23,1068.43,1065.53,1066,1067.455,38
Success,,,0,XAUUSD,12/01/2015,2:50:00 PM,12/01/2015,2:55:00 PM,1065.88,1066.63,1065.63,1066.3,1066.163,43
Success,,,0,XAUUSD,12/01/2015,2:55:00 PM,12/01/2015,3:00:00 PM,1066.05,1066.43,1065.68,1066.3,1066.099,36
